"caseId","Residence Own house/aprt","Disabled or Ill","Highest education completed","Present work situation","Current job prestige scores","Current occupation satisfaction","Present income satisfaction","Respodent identity importance","Respodent detention/jail/prison","Country feels like home","Respondent health","Has Children","Average English Skill","MariageStatus","successIndex","desired.job.prestige.score-1991","GPA","Parent.SES.index-1991","English.Knowledge-1991","Private.school-1991","Houshold.guardians-1991","number.household.members-1991","Sex","Respondent.US.stay.length-1991","Respondent job preference-1991","felt discriminated-1991","Depression-1991","Self-esteem-1991","education expectation-1991","Hours/day on HW-1991","Good grades importance-1991","Reason Dad came to US","Reason Mom came to US","Present living situation-1995","number people living w/respondent-1995","Economic situation/3 year ago-1995","Parent divorced/separated past year-1995","Parent re/married past year-1995","Parent lost job/past year-1995","Respondent ill/disabled past year-1995","Parent died past year-1995","Respondent sex-1995","Respodent US Citizenship-1995","Respondent job classification-1995","Don't feel save at school-1995","attainable education level-1995","Paren education preference-1995","Respondent hour studying-1995","Good grade importance-1995","English Knowledge-1995","Depression-1995","Self-esteem-1995","Familism index-1995","Family cohesion-1995","GPA-1995","Dropped out by 1995","Percent daily school attendance-1995","Private school-1995"
1258,0,1,3,8,33,4,4,3,1,1,5,0,3,0,18.56,55,3.3,-1.28,2.5,0,1,8,1,3,7,1,1.75,3.1,4,3,1,1,1,1,9,2,2,2,1,2,2,1,2,4,4,4,4,2,1,2.5,1.5,3.3,2,5,3.29,0,92.1,0
1259,0,1,2,8,49,3,4,3,1,1,4,0,4,0,25.785,72,1.2,-1.65,3,0,5,3,1,1,1,1,2.5,2.7,3,1,3,1,1,5,3,4,2,2,2,2,2,1,1,4,2,3,3,1,1,2.5,1.75,2.8,1.33,3.67,1.31,0,92.1,0
1262,0,1,5,7,34,3,2,3,1,1,3,0,4,0,19.199,57,2.6,-0.82,4,0,1,6,1,2,13,1,2,3.2,2,2,1,1,1,1,5,2,2,2,2,1,2,1,2,14,4,4,2,3,1,4,3,3,1.33,4.33,2.17,0,93.3,0
1264,0,1,6,8,50,5,5,1,1,1,5,0,4,0,27.229,48,2.1,-0.61,4,0,3,3,1,3,13,1,1.75,3.7,5,2,1,1,1,3,4,1,2,1,2,2,2,1,2,6,2,5,5,4,1,4,1,4,1.67,5,2.5,0,94,0
1265,0,1,3,8,26,4,4,3,1,1,4,0,3,0,15.312,78,3.6,-0.29,3,0,1,4,1,4,10,2,1.25,3.7,5,2,1,1,1,1,4,2,2,2,1,2,2,1,2,1,4,3,4,2,2,2.75,1.25,3.4,1.67,2,3.25,0,92.1,0
1267,0,1,2,7,50,5,5,2,1,1,5,0,1,0,25.808,28,3.36,-0.8,3.25,0,1,5,2,2,14,1,1.75,2.8,5,1,4,1,3,1,2,3,2,2,2,2,2,2,2,4,4,4,4,4,1,4,1,4,2.67,5,3.3,0,93.6,0
1270,0,1,2,8,44,5,4,3,1,1,4,0,4,0,23.658,62,3.1,-1.24,3.25,0,5,8,2,1,8,1,3.25,2,2,2,4,1,3,5,6,3,1,2,2,2,2,2,1,8,4,5,5,2,2,4,1.5,3,1.33,4.33,3.85,0,92.6,0
1284,0,0,4,8,34,4,2,3,1,1,5,0,4,0,19.204,62,2.3,-0.96,4,0,1,5,2,1,8,2,2.25,4,3,3,1,1,3,5,4,3,1,2,2,2,2,2,1,8,3,5,5,2,1,4,2,4,2.67,4,2.71,0,93.2,0
1288,0,1,5,8,37,3,4,3,1,1,3,0,1,0,20.242,78,2.9,-0.97,3,0,5,3,2,1,10,1,1.25,3.4,3,2,1,1,1,5,4,2,2,2,2,2,2,2,1,10,4,2,3,2,1,3,1.5,3.7,1,4,3.15,0,92.6,0
1290,0,1,1,8,42,4,4,2,0,1,5,1,4,1,22.079,48,0.6,-1.39,3,0,1,4,1,1,13,1,1.25,3.5,4,1,3,1,1,1,4,2,2,2,2,2,2,1,1,10,3,4,4,3,1,4,1,3.6,2.67,3,3.5,0,92.1,0
1295,0,1,5,8,31,4,2,3,1,1,3,0,4,0,17.99,66,1.8,-0.97,4,0,5,5,2,1,9,1,1.5,3.5,2,2,1,1,1,5,3,1,2,2,2,2,2,2,1,10,4,5,5,2,1,4,1,4,1,5,1.83,0,94,0
1301,0,1,6,8,67,4,4,2,1,1,4,0,4,0,34.874,62,3.33,0.22,3,0,1,8,2,1,8,1,1.5,2.9,4,2,1,1,3,1,6,4,2,2,1,2,2,2,2,10,3,4,5,3,1,4,1.25,3.9,1.33,4.33,4,0,94.8,0
1308,0,1,6,8,42,1,2,3,1,1,5,0,4,0,23.055,60,4,0.75,4,0,1,4,1,3,6,1,1.75,3.9,4,2,1,9,3,1,4,3,2,2,2,2,2,1,1,6,3,4,4,2,2,4,1.5,4,1.33,4.67,4.13,0,94.7,0
1314,0,1,2,8,42,3,3,3,1,1,5,1,4,0,22.566,60,2.5,-0.75,4,0,1,3,2,2,12,1,1.5,3.8,4,1,1,2,2,1,4,4,2,2,2,2,2,2,2,6,3,5,4,1,2,4,1.5,3.8,1.33,3,2.5,0,88.5,0
