"caseId","Present living situation-1995","number people living w/respondent-1995","Economic situation/3 year ago-1995","Parent divorced/separated past year-1995","Parent re/married past year-1995","Parent lost job/past year-1995","Respondent ill/disabled past year-1995","Parent died past year-1995","Respondent sex-1995","Respodent US Citizenship-1995","Respondent job classification-1995","Don't feel save at school-1995","attainable education level-1995","Paren education preference-1995","Respondent hour studying-1995","Good grade importance-1995","English Knowledge-1995","Depression-1995","Self-esteem-1995","Familism index-1995","Family cohesion-1995","GPA-1995","Dropped out by 1995","Percent daily school attendance-1995","Private school-1995","desired.job.prestige.score-1991","GPA","Parent.SES.index-1991","English.Knowledge-1991","Private.school-1991","Houshold.guardians-1991","number.household.members-1991","Sex","Respondent.US.stay.length-1991","Respondent job preference-1991","felt discriminated-1991","Depression-1991","Self-esteem-1991","education expectation-1991","Hours/day on HW-1991","Good grades importance-1991","Reason Dad came to US","Reason Mom came to US"
1463,1,3,4,2,2,2,2,2,2,2,8,4,3,5,1,3,4,3.25,1.2,1,3.67,1.82,0,92.5,0,40,1.82,-0.45,4,0,1,4,2,2,11,2,2.75,1.8,5,1,3,3,3
1466,1,4,1,2,2,2,2,2,1,2,3,4,4,5,2,1,4,1.75,3.4,2.67,5,1.94,0,88.5,0,40,0.67,-0.87,4,0,1,4,1,2,4,2,1,3.7,3,1,1,1,3
1469,10,3,3,2,2,1,2,2,2,2,8,4,4,5,1,3,4,2.5,2.9,1,4.67,2.08,0,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1470,1,3,3,2,2,1,2,2,2,1,6,4,5,5,2,1,4,1.25,3.9,2.33,5,4.17,0,92.9,0,60,4.17,0.67,4,0,1,3,2,1,6,1,1,3.9,5,2,2,1,3
1472,1,8,3,2,2,1,2,2,2,1,8,2,2,4,2,1,4,3.25,3.5,1.67,4.67,3.58,0,93,0,71,3.3,-0.32,4,0,1,7,2,1,9,2,1.5,3.9,3,2,1,1,3
1478,1,5,3,2,2,2,2,2,2,2,8,4,2,5,3,3,3.25,2,3.3,2,3,0.86,0,94.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1479,5,5,3,1,2,2,2,2,2,1,8,2,5,5,4,1,3,3.25,3.6,3,3,2.57,0,90.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1480,5,5,3,2,2,2,2,2,1,1,11,2,4,4,1,1,4,1.5,4,2,4,1.11,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1481,1,3,2,2,2,2,2,2,1,1,7,4,5,5,2,1,4,1.25,3.7,2.33,4.67,4,0,93.6,0,56,2.8,-0.36,3,0,1,6,1,2,7,1,1.5,3.2,5,1,2,1,3
1482,5,3,2,2,2,1,2,2,2,1,6,1,4,5,3,1,4,2,3.3,1.67,3,2.9,0,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1484,1,4,3,2,2,1,2,2,1,1,7,3,5,5,3,3,4,1.75,3.6,1,2.67,1.46,0,92.5,0,72,3,0.21,4,0,1,4,1,2,7,1,2.25,3.7,5,2,1,2,1
1487,1,3,2,2,2,2,2,2,2,2,11,4,5,5,3,1,4,1,4,1.33,4.67,4.17,0,94.3,0,78,4.17,1.15,4,0,1,3,2,2,12,2,1,4,5,2,1,1,1
1488,1,8,4,1,2,1,2,2,2,1,9,3,5,4,5,1,4,2.5,3.7,1.33,4.33,4.1,0,91.3,0,57,3.33,-0.42,4,0,1,4,2,1,13,2,2,3.9,4,3,1,2,2
1489,5,1,4,2,2,2,2,2,2,1,11,3,4,4,1,3,4,1.75,3.7,1,2.67,2.33,0,90.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1491,5,2,3,1,2,2,2,2,1,2,10,4,4,5,2,1,3.75,3,3.2,1.67,2.33,1.74,0,90.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1493,1,3,4,2,2,1,2,2,2,1,11,2,4,5,3,1,4,3.75,2.3,1.33,2,2.38,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1495,1,0,2,2,2,2,2,2,2,1,11,1,5,5,4,1,4,4,3,1.33,3.67,2.32,0,92.5,0,71,2,-0.1,4,0,1,2,2,2,9,1,2.75,3.3,5,2,1,6,6
1498,3,5,2,2,1,2,2,1,1,1,10,3,5,5,6,1,4,1.25,3.7,2,3.33,2.99,0,94.3,0,78,3.17,-0.02,4,0,3,5,1,3,10,1,1.25,3.4,5,3,1,2,2
1500,5,4,1,1,2,2,2,2,1,1,8,4,5,4,1,2,4,1,4,2.33,4.33,1.62,0,92.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1501,3,4,2,2,2,2,2,2,2,2,11,4,5,5,2,1,4,1,3.9,1,2.67,3.06,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1505,1,2,2,2,2,2,2,2,1,1,10,2,5,5,4,1,4,1.5,3.8,1,4.67,3.21,0,94.3,0,78,3.33,1.08,4,0,1,4,1,1,10,1,1.25,3.6,5,2,1,2,2
1506,1,3,3,2,2,2,2,2,1,2,11,3,2,4,1,1,4,1.75,3.6,1.33,3.67,1.43,0,88.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1508,5,3,4,1,2,1,2,2,1,1,4,4,4,5,1,2,4,1.5,4,1.67,4.67,2.08,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1510,5,1,4,2,1,1,2,2,2,2,6,4,4,5,4,1,4,1.25,3.9,2,5,2.5,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1511,1,4,2,2,2,2,2,2,2,2,11,4,5,5,3,1,4,1,3.5,1.33,2.67,3.06,0,91.3,0,78,2.92,-0.37,4,0,1,4,2,3,10,1,1.25,3.7,5,3,2,2,2
