"caseId","Residence Own house/aprt","Disabled or Ill","Highest education completed","Present work situation","Current job prestige scores","Current occupation satisfaction","Present income satisfaction","Respodent identity importance","Respodent detention/jail/prison","Country feels like home","Respondent health","Has Children","Average English Skill","MariageStatus","successIndex"
2364,0,1,6,7,50,3,1,3,1,1,5,0,4,0,26.723
2365,0,1,2,7,34,4,3,3,1,1,3,0,4,0,18.777
2367,0,1,6,8,54,5,4,2,1,1,5,0,4,0,29.026
2368,0,1,7,8,58,5,2,3,1,1,5,0,4,0,30.933
2369,0,1,8,2,78,5,4,3,1,1,4,0,4,0,39.948
2370,0,1,2,8,23,4,3,2,1,1,5,0,4,0,13.833
2372,0,1,5,8,52,5,4,2,1,1,5,0,4,0,27.91
2374,0,1,4,8,34,5,4,2,1,1,5,0,4,1,19.497
2375,0,1,2,8,42,5,3,1,1,1,5,0,4,0,22.589
2376,0,0,3,8,21,1,4,2,1,1,5,0,3.25,1,12.8125
2377,0,1,6,8,60,5,4,3,1,1,5,0,4,0,31.829
2378,0,1,4,8,42,4,3,2,1,1,4,1,3.75,1,22.9595
2379,0,1,5,7,16,4,3,3,0,1,5,0,4,0,10.72
2380,0,1,6,8,67,4,4,3,1,1,3,0,4,0,34.888
2383,0,1,6,8,67,4,3,2,1,1,4,0,4,0,34.786
2384,0,1,2,8,38,4,4,3,1,1,4,1,4,0,20.867
2387,0,1,5,7,42,4,4,2,1,1,5,1,3,1,23.048
2388,0,1,2,8,55,4,2,2,1,1,4,0,4,1,28.445
2390,0,1,5,7,38,3,3,3,1,1,5,0,3.25,0,21.0445
2391,0,1,3,8,53,2,2,1,1,1,5,0,3.75,1,27.4935
2392,0,1,5,8,34,4,1,3,1,1,5,0,3.75,0,19.2995
